election_date,race,county,dem_candidate,rep_candidate,dem_votes,rep_votes,total_votes,source_url
2024-11-05,2024 Wisconsin U.S. Senate,Pepin,Tammy Baldwin,Eric Hovde,1591,2636,4318,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Pierce,Tammy Baldwin,Eric Hovde,10407,14172,25138,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Polk,Tammy Baldwin,Eric Hovde,9710,17446,27931,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Portage,Tammy Baldwin,Eric Hovde,21989,20082,42932,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Price,Tammy Baldwin,Eric Hovde,3181,5424,8806,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Racine,Tammy Baldwin,Eric Hovde,49333,54789,106626,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Richland,Tammy Baldwin,Eric Hovde,4111,4912,9233,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Rock,Tammy Baldwin,Eric Hovde,47080,38097,87434,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Rusk,Tammy Baldwin,Eric Hovde,2548,5372,8201,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Sauk,Tammy Baldwin,Eric Hovde,18429,17895,37177,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Sawyer,Tammy Baldwin,Eric Hovde,4621,6208,11033,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Shawano,Tammy Baldwin,Eric Hovde,7549,15052,23298,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Sheboygan,Tammy Baldwin,Eric Hovde,27552,37747,66904,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,St. Croix,Tammy Baldwin,Eric Hovde,23792,34844,60029,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Taylor,Tammy Baldwin,Eric Hovde,2943,7892,11122,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Trempealeau,Tammy Baldwin,Eric Hovde,6424,9118,15922,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Vernon,Tammy Baldwin,Eric Hovde,7765,8312,16482,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Vilas,Tammy Baldwin,Eric Hovde,6120,9607,16015,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Walworth,Tammy Baldwin,Eric Hovde,22882,35692,60028,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Washburn,Tammy Baldwin,Eric Hovde,3916,6724,10882,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Washington,Tammy Baldwin,Eric Hovde,28053,61163,90742,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Waukesha,Tammy Baldwin,Eric Hovde,105781,163590,273681,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Waupaca,Tammy Baldwin,Eric Hovde,10013,19117,30107,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
